City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,selfoss,63.9331,-20.9971,282.62,96,100,3.07,IS,1722913800
310,qaisumah,28.3112,46.1273,302.13,17,0,1.03,SA,1722913801
311,anna,51.4842,40.4299,292.47,57,100,2.11,RU,1722913802
312,meizhou,24.2977,116.1072,306.53,68,0,0.64,CN,1722913804
313,vila velha,-20.3297,-40.2925,294.12,95,20,1.54,BR,1722913632
314,kokkola,63.8385,23.1307,287.55,90,2,0.99,FI,1722913806
315,namibe,-15.1961,12.1522,290.25,91,35,0.51,AO,1722913807
316,aljezur,37.3191,-8.8033,290.92,83,0,4.96,PT,1722913808
317,mount isa,-20.7333,139.5,297.02,41,0,4.12,AU,1722913809
318,akhnur,32.8667,74.7333,302.94,82,100,1.12,IN,1722913810
319,angaur state,6.906,134.13,302.28,74,99,4.61,PW,1722913811
320,santiago del torno,-17.9833,-63.3833,294.25,74,45,2.8,BO,1722913812
321,korla,41.7597,86.1469,301.82,38,100,8.61,CN,1722913813
322,albertina,-22.2008,-46.6158,289.92,54,0,2.91,BR,1722913815
323,kavaratti,10.5669,72.642,300.26,85,100,5.37,IN,1722913816
324,new norfolk,-42.7826,147.0587,289.22,59,75,5.56,AU,1722913817
325,erzurum,40.0,41.5,283.97,68,0,1.55,TR,1722913818
326,tutong,4.8,114.65,304.2,63,95,0.96,BN,1722913739
327,capitao poco,-1.7464,-47.0594,294.81,97,97,2.0,BR,1722913643
328,aykhal,66.0,111.5,285.17,60,70,9.23,RU,1722913821
329,port-gentil,-0.7193,8.7815,296.27,82,100,6.7,GA,1722913822
330,okhotsk,59.3833,143.3,284.52,88,100,9.85,RU,1722913823
331,aitape,-3.1374,142.3475,302.62,65,100,2.85,PG,1722913824
332,boa vista,2.8197,-60.6733,300.14,78,40,1.54,BR,1722913825
333,whittlesea,-32.1759,26.8244,278.66,31,0,2.14,ZA,1722913827
334,fianarantsoa,-21.4333,47.0833,282.31,54,0,0.07,MG,1722913828
335,port alfred,-33.5906,26.891,285.49,56,0,2.68,ZA,1722913829
336,mahina,-17.5065,-149.489,300.79,74,20,7.2,PF,1722913831
337,taltal,-25.4,-70.4833,288.04,65,0,2.35,CL,1722913832
338,plastun,44.7561,136.2939,297.11,61,16,2.61,RU,1722913833
339,qobustan,40.0824,49.412,300.67,66,37,1.66,AZ,1722913834
340,rio grande,-32.035,-52.0986,290.34,98,100,6.04,BR,1722913538
341,carutapera,-1.195,-46.02,298.31,83,71,2.95,BR,1722913836
342,tsengel,49.4783,100.8894,292.93,60,9,2.73,MN,1722913838
343,touros,-5.1989,-35.4608,295.15,85,100,5.22,BR,1722913839
344,terenozek,45.05,64.9833,304.32,20,0,2.03,KZ,1722913841
345,torghay,49.6339,63.4981,301.9,27,22,6.21,KZ,1722913842
346,port hedland,-20.3167,118.5667,298.18,31,100,4.63,AU,1722913843
347,howrah,22.5892,88.3103,304.15,84,75,2.57,IN,1722913844
348,polyarnyy,69.1989,33.4478,283.59,62,28,2.25,RU,1722913545
349,gebeit,21.0667,36.3167,298.56,61,100,2.98,SD,1722913846
350,sao vicente,-23.9631,-46.3919,299.41,68,0,1.61,BR,1722913847
351,leticia,-4.2153,-69.9406,299.18,94,40,2.06,CO,1722913848
352,san antonio de pale,-1.4014,5.6325,295.13,74,100,3.64,GQ,1722913849
353,colonia,50.9333,6.95,290.9,88,0,1.03,DE,1722913848
354,emerald,-23.5333,148.1667,296.67,57,5,1.21,AU,1722913851
355,baoqing,46.3317,132.2111,301.0,79,44,3.13,CN,1722913852
356,piara waters,-32.1251,115.9178,292.58,64,100,2.24,AU,1722913854
357,henderson,36.0397,-114.9819,315.16,21,0,5.66,US,1722913855
358,kerouane,9.2667,-9.0167,293.62,98,90,1.69,GN,1722913856
359,kargopol',61.5071,38.9456,286.88,87,100,1.7,RU,1722913857
360,khor,47.8861,134.9464,298.03,86,93,4.37,RU,1722913858
361,east ballina,-28.8667,153.5833,295.82,50,3,2.28,AU,1722913859
